text,polarity
"#ATENCIÓN, Otra investigación contra abogado #DiegoCadena, ordena la Corte Suprema. Su defensor, penalista… https://t.co/zMiS34ghnw",-0.4
"Uribe es la tóxica que cuando la atrapan dice que que está embarazada, pero como el no puede usar la misma excusa,… https://t.co/sPFzZafoOn",0.09444444444444444
#ÁlvaroUribe con orden de arresto y con Covid-19. ¿Aislamiento o encarcelamiento? ¿Quién da más?,-0.05
"Hay tienen al #Malayaga 
En fotografía con el ahora convicto #AlvaroUribe 
No que no pues . https://t.co/EyVTjWErvY",0.0
@NoticiasCaracol Algo se trama el señor #AlvaroUribe #Colombia #COVID__19 #virus https://t.co/tLB59BVkvy,0.0
Esto escribía #IvanDuque d #AlvaroUribe antes q se convirtiera en su mentor politico. En 1982 Ivan Duque Escobar pa… https://t.co/sHdPBm8CCE,0.0
"#opinión | La libertad de Álvaro Uribe Vélez @RobertoRave1
https://t.co/DcksyytkOt
#Colombia #Uribe #AlvaroUribe https://t.co/g30sGZeQrI",0.0
#Colombia: el oficialismo ataca a la Corte Suprema y pretende reformar la Constitución para defender a #ÁlvaroUribe… https://t.co/4liPgeNgP1,0.0
¿Cree usted que el ex mandatario podrá superar el #COVID19 teniendo en cuenta que es un paciente asintomático?… https://t.co/jnkIq8FYEC,0.25
Ah que tiene un parecido a alguien que también fué muy poderoso?? A quien?? #Matarife #PabloEscobar #AlvaroUribe… https://t.co/m7pMk0nn5J,0.3
"celebro que el último caso de Covid en Colombia fue  el de #AlvaroUribe, se acabó la pandemia, la ocupación en las… https://t.co/4K2BuKeww9",0.0
"#Internacionales | Ex presidente #ÁlvaroUribe da positivo para #COVID19

Detalles: https://t.co/riEEocCDjC",0.11363636363636365
Deberian preguntarle a #IvanDuque porque su papá denunció a #AlvaroUribe cuando lideraba la aerocivil. https://t.co/Pkl4187SNs,0.0
"#AlvaroUribe es una muestra que al socialismo no se le perdona ni se coexiste, porque prontamente arremetera contig… https://t.co/OnDvoGBQgF",0.0
"#ExclusivasNotiMundo | @cnnramos, corresponsal de #CNN en #Colombia, indicó que la decisión de la Corte Suprema de… https://t.co/Yc8zszVWsM",0.0
